,star_rating,review_title,review_content,date_of_rating,date_of_experience,reviewer_name,num_reviews,country,review_link,profile_link
64418d0095b0480e85eb8c63,5,The Place For Indie Artists,"Ryan is great. One of the best people I’ve found helping Indie Artists find their way.I’ve been following Ryan and watching Indie Music Academy YouTube videos for over 2 years. He showed me how to spot and stay away from bot Spotify playlists, which distributors were right for our music and most recently taught me how to use Facebook ads to find the right audience for our music. I joined the first ever group for his Spotify Growth Formula class and have found it to be incredible. I’ve talked to many…many support reps at Facebook and no one knows more about the Facebook ads engine and how to strategize to find the best audience for your music than Ryan. I got so much out of the first Spotify Growth Formula class that I joined the second group and plan to continue meeting with Ryan and the other students in the community he’s set up for us to share what we’ve learned as we continue to become more experienced Facebook advertisers and musicians.Ryan is legit and gets results. You could not find a more trustworthy mentor – he cares and does everything he can to help his students move forward as they pursue their indie music careers.",2023-04-20T21:05:36.000Z,"April 20, 2023",Jim Stedman,4,US,https://www.trustpilot.com/reviews/64418d0095b0480e85eb8c63,https://www.trustpilot.com/users/57eae6ff0000ff000a4857ff
64c0beeb734158d6a3846d7e,5,Customer Service,"Customer Service! Ryan and his team at the Indie Music Academy are simply the best in the business at answering every question (no matter how ignorant), giving encouragement (for even small successes), and teaching the crucial skills for online music distribution, promotion and connecting with fans around the world. Available, personal, educational, talented, and genuinely kind humans; this is my experience at Indie Music Academy. Thank you so much!",2023-07-26T08:36:28.000Z,"July 25, 2023",Alice B,2,US,https://www.trustpilot.com/reviews/64c0beeb734158d6a3846d7e,https://www.trustpilot.com/users/61a92bd7683dbb0014055933
64c024fa2df4d2c0515ad378,5,The proper tools,This program gave me the tools to finally reach listeners. Highly recommend to any artist or band looking to get ears on their tunes.,2023-07-25T21:39:38.000Z,"March 12, 2023",The Hero,1,US,https://www.trustpilot.com/reviews/64c024fa2df4d2c0515ad378,https://www.trustpilot.com/users/64c024f26b58ad0011a7fdc4
64556f082a4d68db33386980,5,SFG - Spotify Growth Formula Course,"SFG - Spotify Growth Formula Course.The real deal! Learnt how to get my songs in front of 100's of thousands of people, directly!! Which is miles better than doing playlist promotion.PL promo, where we gain passive streams through other peoples popular songs, is great for a boost in numbers, but this ( SGF ) is where it is at, seat of your pants stuff; Put the song(s) out and see if people like it, for real.   The Formula and setup works amazing and Ryans lessons are step by step and easy to follow.Put the music out there, to a LOT of people -  the results are down to us! I have full control and, more importantly, for me being a musician making songs just for the love of it, find out, for real, if people like it or not, which, with playlist promo, I never really knew.So doing both now, with the SGF course being the main thingGoodbye Record Labels and goodbye excuses! SGF gives us the pro tools to promote ourselves - biggest question is, now WE can do it,  ""can we handle the truth"" ha!.The technical side of the course opens the door to people to ""audition"" our songs, but can't force people to click over , stream , follow and all that.This is where the community comes in, spurring each other on to try new ideas and learning by sharing our experiences and results.",2023-05-06T10:25:49.000Z,"May 05, 2023",Rob,1,GB,https://www.trustpilot.com/reviews/64556f082a4d68db33386980,https://www.trustpilot.com/users/643e912e10c4010012224e24
643d9bdb9e941962ae39ef23,5,Spotify Growth Formula,"Ryan and his team are so awesome. As a lifelong musician but a complete beginner with marketing, Ryan’s Spotify Growth Formula class has completely changed my ability to market my own music and I’m so appreciative of his time and dedication. Couldn’t be happier with my experience.",2023-04-17T21:19:55.000Z,"April 17, 2023",Steven D.,1,US,https://www.trustpilot.com/reviews/643d9bdb9e941962ae39ef23,https://www.trustpilot.com/users/643d9b36a509510013d351cf
6270ea3ff03a9893e981f106,1,Spent $1500 on an EP and put me on…,"Spent $1500 on an EP and put me on playlist that were not in my country or genre. They said they go off ""vibe"". I think anyone who listens to EDM music would know that dubstep and house music is two different vibes.",2022-05-03T10:39:27.000Z,"May 03, 2022",Anthony Michalowicz,1,US,https://www.trustpilot.com/reviews/6270ea3ff03a9893e981f106,https://www.trustpilot.com/users/6270ea38cfff1e00123bad1f
63ffdb44bb128c4c60256471,5,They are fantastic professionals who do…,They are fantastic professionals who do what they say. I have excellent results that have far surpassed any of their competition. Highly recommend them.,2023-03-02T01:09:56.000Z,"March 01, 2023",World To Be Entertainment,1,US,https://www.trustpilot.com/reviews/63ffdb44bb128c4c60256471,https://www.trustpilot.com/users/63ffdadbfbfb530012561e50
63e4b537745e4800219f5c9b,1,My experience was practical wasted…,"My experience was practical wasted time. I had purchased a package for $537. After the purchase, my email account was bombarded with newsletter emails about their courses daily. But at first no problem. I had asked on 5th January, if I could get the placements sent to my email. I was answered 6 days later by ""Mandy"", which is a bit late. Thereupon I had also answered and again 6 days later an email received. I have to say that 6 days is too long. After my answer there was no answer from Mandy.Other companies respond within 24 or 72 hours. Therefore 0 stars in terms of contact. After 18 days and no answer I still had not received a single placement. Therefore, I have then finally requested a refund. Therefore also 0 stars in terms of promotion.I have to note that I still receive daily newsletter emails aimed at buying a course from them. I think this is the real strategy of the company, selling courses. My time was totally wasted, so not recommended.",2023-02-09T10:56:23.000Z,"January 25, 2023",Chavito,1,TH,https://www.trustpilot.com/reviews/63e4b537745e4800219f5c9b,https://www.trustpilot.com/users/63e4b1d0cc5b72001260e8fa
63cbd3564b01fb3f5488abaa,2,Not getting what I paid for,"After paying for the campaign, it started off promising by getting emails with helpful links and tips to get started. And then you get reassurances of getting onto real playlists with genuine streams. They state that you will get fully refunded if they can't get you on any playlist. Sounds good! I'm in! Where do I sign? Then I heard nothing for 2 weeks. All I get are impersonal generic emails which are the same that they send out to everyone I'm sure. I sent an email saying that ""instead of asking for a refund, can we just switch songs for my campaign"". Maybe I'll have better luck getting placements for it....no response from anyone for 3 business days. You figure surely someone can check an email and respond by then right? Then I get another generic email saying ""how's everything going? If you need anything please don't hesitate to respond to this email"" So I responded with my frustration with the process thus far and would just like a refund at this point. Still haven't heard back from this email either. Why send a generic email and not deliver on its contents? Very frustrating and I feel like I can't get in touch with anyone to help resolve my issue. So far I've spent over $200 for my campaign and feel like I've been ripped off.",2023-01-21T13:58:14.000Z,"January 21, 2023",Bubble gutz,6,US,https://www.trustpilot.com/reviews/63cbd3564b01fb3f5488abaa,https://www.trustpilot.com/users/567371b10000ff0001f4abe9
62bbc02aba5bb6ef04261d43,5,"So good, i've used them twice.","I've used them them twice! Amazing work - the streams are legit. They don't put you on many playlists, at best only 1 ... but its a legit playlist with real listeners. I'll always use these guys :) Thanks.",2022-06-29T04:59:54.000Z,"June 29, 2022",Valence,2,SE,https://www.trustpilot.com/reviews/62bbc02aba5bb6ef04261d43,https://www.trustpilot.com/users/5ec4fefbce35a48e1f872d8a
6064fd51f85d750870414454,1,dont do biz here,A playlist service that says they get GUARANTEED ORGANIC plays is full of it? No waaay?!?!,2021-03-31T22:53:05.000Z,"March 31, 2021",Chuck W.,19,US,https://www.trustpilot.com/reviews/6064fd51f85d750870414454,https://www.trustpilot.com/users/5f927935fdadc5001aca0acb
