,star_rating,review_title,review_content,date_of_rating,date_of_experience,reviewer_name,num_reviews,country,review_link,profile_link
6511d30b6ea4746bbe70f4e2,1,Planetary group is a scam contacted the…,Planetary group is a scam contacted the real planetary group via email and there was no shadow of a doubt that planetarygroupuk.com is not associated with the company and they are trying to get them shut down...the review below is fake I mean look at the picture,2023-09-25T20:35:55.000Z,"September 25, 2023",James,3,GB,https://www.trustpilot.com/reviews/6511d30b6ea4746bbe70f4e2,https://www.trustpilot.com/users/6308af8949d33f00126c7fa3
65033e41d4c0781847d03d24,4,I found this platform legit,"I found this platform legit. There is no long-term investment. I can withdraw my commission daily. However, it's a little bit expensive, but the return is awesome. I'm happy.",2023-09-14T19:09:21.000Z,"September 14, 2023",Emma Helen,1,GB,https://www.trustpilot.com/reviews/65033e41d4c0781847d03d24,https://www.trustpilot.com/users/65033e34f266460013469746
64f8dd0544167d91b313f58c,1,Although the supervisor is generally…,"Although the supervisor is generally patient and helpful it just seems to be an elaborate scam .   It’s cleverly constructed so you think it’s easy money .  Firstly the processes to supposedly recieve your money is complex and needed to download two apps ,  some contradictions also .  But money never recieved in fact they ask you to deposit money to complete process up to 150 pounds at least .   The actual work to claim money is simple but odd as you just give 5 stars to music items .    First clue .   A lot of wasted time .",2023-09-06T22:11:49.000Z,"September 06, 2023",MR BRIAN ROBERTSON,12,GB,https://www.trustpilot.com/reviews/64f8dd0544167d91b313f58c,https://www.trustpilot.com/users/60781a7a4cc0da001a4dcf33
613abe84655f038751f1cac8,1,Be smarter than me,"Ok, I decided to give this service a fair shot because I had read more reviews than bad, but after using it and comparing it to ther services I see clearly that they are too expensive for the service. Also, I recognize that there is no guaranteed numbers but the results were significantly less than I expected. Avoid this, don't waste your money as I did, be smarter than me.",2021-09-10T02:10:12.000Z,"September 10, 2021",Jenna Roberson,1,US,https://www.trustpilot.com/reviews/613abe84655f038751f1cac8,https://www.trustpilot.com/users/613abd7e34d92f00129209ea
