,star_rating,review_title,review_content,date_of_rating,date_of_experience,reviewer_name,num_reviews,country,review_link,profile_link
65b4542a8513f58297a9db31,5,Amazing and succesfull projects 🚀❤️‍🔥,,2024-01-27T02:54:03.000Z,"January 27, 2024",fhrrmie,1,ID,https://www.trustpilot.com/reviews/65b4542a8513f58297a9db31,https://www.trustpilot.com/users/65b45415a052ec00121804dd
65b44f8de798db9f97b2804c,5,Love this site,Love this site! Very great and highly recommended 👍,2024-01-27T02:34:22.000Z,"January 27, 2024",Gibran Radip,1,ID,https://www.trustpilot.com/reviews/65b44f8de798db9f97b2804c,https://www.trustpilot.com/users/65b44f8037269b00128987ce
65b445a9cf25c65f61917fc8,5,Best of the best,,2024-01-27T01:52:10.000Z,"January 27, 2024",nada savia,1,ID,https://www.trustpilot.com/reviews/65b445a9cf25c65f61917fc8,https://www.trustpilot.com/users/65b4458cb5b6a90012c847e7
65b43b49d4f92a99966ef26c,5,amazing & good,,2024-01-27T01:07:53.000Z,"January 27, 2024",Saa Bii,1,ID,https://www.trustpilot.com/reviews/65b43b49d4f92a99966ef26c,https://www.trustpilot.com/users/65b43b11a052ec001217f9d9
65b43b2ee7808b7acfebb55e,5,This is very cool,"Wow, this is very cool and awesome!",2024-01-27T01:07:27.000Z,"January 17, 2024",jessica,1,ID,https://www.trustpilot.com/reviews/65b43b2ee7808b7acfebb55e,https://www.trustpilot.com/users/65b43af637269b0012897f26
65b43781260f1159c9461e34,5,best project 🥰,,2024-01-27T00:51:46.000Z,"January 27, 2024",lopeyu,2,ID,https://www.trustpilot.com/reviews/65b43781260f1159c9461e34,https://www.trustpilot.com/users/656155fd5f1f1b001277a291
65b430a7f2f6e7e6f50b3a9b,5,this company so good,,2024-01-27T00:22:31.000Z,"January 27, 2024",lovie feisa,2,ID,https://www.trustpilot.com/reviews/65b430a7f2f6e7e6f50b3a9b,https://www.trustpilot.com/users/65b4309a7f369e00117a0d5c
65b426183fe4fd54611b00cc,5,the best,the best in the world,2024-01-26T23:37:29.000Z,"January 27, 2024",calum ucul kelum,5,ID,https://www.trustpilot.com/reviews/65b426183fe4fd54611b00cc,https://www.trustpilot.com/users/645277d13641590012f56443
65b4260f53773e62206618d3,5,Woww good service,Woww good serviceThankyou,2024-01-26T23:37:19.000Z,"January 27, 2024",Arum Arum,13,ID,https://www.trustpilot.com/reviews/65b4260f53773e62206618d3,https://www.trustpilot.com/users/63d71db9a61b29001384455b
65b415a8d553adcc34c987d7,5,Highly recommended to all people!,,2024-01-26T22:27:20.000Z,"January 27, 2024",TWICE ENG SUBS,2,PH,https://www.trustpilot.com/reviews/65b415a8d553adcc34c987d7,https://www.trustpilot.com/users/60a654d9593eb7001a8ba492
65b3f760e4f12a422d8a6b68,5,Perfect and smooth performance,Perfect and smooth performance! Recommended to all!,2024-01-26T20:18:08.000Z,"January 26, 2024",Ligaya,1,PH,https://www.trustpilot.com/reviews/65b3f760e4f12a422d8a6b68,https://www.trustpilot.com/users/65b3f7529f304e0012d03432
65b3ed0c681e187269e9cd6f,5,Good 😊😊😊😊😊😊,,2024-01-26T19:34:04.000Z,"January 27, 2024",Patricia Geovany,3,ID,https://www.trustpilot.com/reviews/65b3ed0c681e187269e9cd6f,https://www.trustpilot.com/users/6556c6ce446f620012ff0e01
65b3ec8aa71280ec751aacfd,5,They are so helpful,They are so helpful for artist,2024-01-26T19:31:55.000Z,"January 27, 2024",Cito,1,ID,https://www.trustpilot.com/reviews/65b3ec8aa71280ec751aacfd,https://www.trustpilot.com/users/65b3ec7a8f8de10012595864
65b3ec1b61300a7e9ce30c32,5,its really good,,2024-01-26T19:30:03.000Z,"January 27, 2024",Request,2,ID,https://www.trustpilot.com/reviews/65b3ec1b61300a7e9ce30c32,https://www.trustpilot.com/users/6556b1682cf0580011ccf6e9
65b3eb480e1d259e1dab6a55,5,This web and project is really good,This web and project is really good. Must check it,2024-01-26T19:26:32.000Z,"January 26, 2024",Kookie,2,ID,https://www.trustpilot.com/reviews/65b3eb480e1d259e1dab6a55,https://www.trustpilot.com/users/600147ee1ce5f60019145dcf
65b3e56be7914dcca1151d6a,5,very good for this,,2024-01-26T19:01:32.000Z,"January 27, 2024",pablo we,1,ID,https://www.trustpilot.com/reviews/65b3e56be7914dcca1151d6a,https://www.trustpilot.com/users/65b3e554f7ea3e0012987d65
65b3e5626d22565745a2eaa6,5,Very nice app,Very nice app! I learned more good thing about this,2024-01-26T19:01:23.000Z,"January 27, 2024",Rhona,2,PH,https://www.trustpilot.com/reviews/65b3e5626d22565745a2eaa6,https://www.trustpilot.com/users/64be48d465646500128dac33
65b3e40d7da9b2dcf10e0fbd,5,amazing platform,"amazing platform, keep it up!🔥💥",2024-01-26T18:55:41.000Z,"January 26, 2024",zee na,1,ID,https://www.trustpilot.com/reviews/65b3e40d7da9b2dcf10e0fbd,https://www.trustpilot.com/users/65b3e3ec30f32b0012485ac4
65b3e01b3f4e86cf45e14de9,5,this is good,this is really really good,2024-01-26T18:38:51.000Z,"January 26, 2024",Jeannie Limbo,1,PH,https://www.trustpilot.com/reviews/65b3e01b3f4e86cf45e14de9,https://www.trustpilot.com/users/65b3e008f7ea3e00129879ac
65b3c714801bbaca2939dc19,5,this is awesome,,2024-01-26T16:52:04.000Z,"January 08, 2024",zandara lumanang,1,PH,https://www.trustpilot.com/reviews/65b3c714801bbaca2939dc19,https://www.trustpilot.com/users/654039bceb9f660011d28ccb
65b3c4fdcbc8476788771c17,5,this is so amazing!,,2024-01-26T16:43:09.000Z,"January 26, 2024",eunsang apel,5,ID,https://www.trustpilot.com/reviews/65b3c4fdcbc8476788771c17,https://www.trustpilot.com/users/644a8eca75cc610013b6873b
65b3c0dea5c3796536358fa8,5,Let's goooo!!,,2024-01-26T16:25:35.000Z,"January 26, 2024",Eve Shin,1,PH,https://www.trustpilot.com/reviews/65b3c0dea5c3796536358fa8,https://www.trustpilot.com/users/65b3c0d2a052ec001217ade7
